query_id,query_type,query_text,relevant_record_id
1,exact,تکنالوژی هوش مصنوعی,1
2,exact,شبکه های محرم پنتاگون,2
3,exact,نیروگاه هسته ای براکه,12
4,exact,گنبد آهنین,15
5,exact,حملات طیاره های بی سرنشین,23
6,exact,تنگه هرمز,34
7,exact,سفر رسمی به چین,54
8,exact,بحران آب در افغانستان,98
9,exact,منابع آب زیرزمینی,105
10,exact,شیوع بیماری ایبولا,115
11,exact,ویروس هانتا,235
12,exact,تغییرات اقلیمی,103
13,exact,واردات طلا,177
14,exact,ساعت بدن,212
15,exact,سن گندم,449
16,typo,تکنالوژی هوش مسنوعی,1
17,typo,شبکه های محرم پنتاگن,2
18,typo,نیروگاه هستوی براکه,12
19,typo,گنبد اهنین,15
20,typo,حملات طیاره های بی سرنشن,23
21,typo,تنگه هرمزز,34
22,typo,سفر رسمی به چن,54
23,typo,بحران اب در افغانستن,98
24,typo,منابع اب زیر زمینی,105
25,typo,شیوع بیماری ایبلا,115
26,typo,ویروس هنتا,235
27,typo,تغیرات اقلیمی,103
28,typo,واردات طله,177
29,typo,ساعت بددن,212
30,typo,سن گنددم,449
31,partial,هوش مصنوعی,1
32,partial,شبکه های محرم,2
33,partial,نیروگاه براکه,12
34,partial,گنبد آهنین,15
35,partial,طیاره های بی سرنشین,23
36,partial,هرمز,34
37,partial,سفر به چین,54
38,partial,بحران آب,98
39,partial,آب زیرزمینی,105
40,partial,بیماری ایبولا,115
41,partial,ویروس هانتا,235
42,partial,تغییرات اقلیم,103
43,partial,طلا,177
44,partial,ساعت بدن,212
45,partial,گندم,449
46,variant,فناوری هوش مصنوعی,1
47,variant,سیستم های محرمانه پنتاگون,2
48,variant,تاسیسات اتمی براکه,12
49,variant,سیستم دفاعی گنبد آهنین,15
50,variant,حملات طیاره بی سرنشین,23
51,variant,مسیر دریایی هرمز,34
52,variant,دیدار رسمی با چین,54
53,variant,کمبود آب افغانستان,98
54,variant,ذخایر آب زیرزمینی,105
55,variant,گسترش ایبولا,115
56,variant,بیماری هانتا,235
57,variant,تغییر آب و هوا,103
58,variant,خرید و فروش طلا,177
59,variant,ساعت بیولوژیکی بدن,212
60,variant,آفت گندم,449
61,typo,اوپن ای ای گوگل نویدیا,3
62,typo,پالیسی تسریع هوش مسنوعی,4
63,typo,تصمیم گیری نیروهای عملیاطی,5
64,typo,خطر در زنجیره تمین,6
