method,query_id,query_type,query_text,relevant_record_id,hit@5,precision@5,recall@5,f1@5,retrieved_ids
Exact Matching,1,exact,تکنالوژی هوش مصنوعی,1,1,0.2,1,0.3333,"[1, 2]"
Exact Matching,2,exact,شبکه های محرم پنتاگون,2,1,0.2,1,0.3333,[2]
Exact Matching,3,exact,نیروگاه هسته ای براکه,12,1,0.2,1,0.3333,[12]
Exact Matching,4,exact,گنبد آهنین,15,1,0.2,1,0.3333,"[15, 19]"
Exact Matching,5,exact,حملات طیاره های بی سرنشین,23,1,0.2,1,0.3333,[23]
Exact Matching,6,exact,تنگه هرمز,34,1,0.2,1,0.3333,"[34, 59, 68, 93, 181]"
Exact Matching,7,exact,سفر رسمی به چین,54,1,0.2,1,0.3333,[54]
Exact Matching,8,exact,بحران آب در افغانستان,98,1,0.2,1,0.3333,[98]
Exact Matching,9,exact,منابع آب زیرزمینی,105,1,0.2,1,0.3333,"[105, 114]"
Exact Matching,10,exact,شیوع بیماری ایبولا,115,1,0.2,1,0.3333,[115]
Exact Matching,11,exact,ویروس هانتا,235,1,0.2,1,0.3333,"[235, 243, 247, 252, 253]"
Exact Matching,12,exact,تغییرات اقلیمی,103,1,0.2,1,0.3333,"[103, 109, 267, 269, 271]"
Exact Matching,13,exact,واردات طلا,177,1,0.2,1,0.3333,"[177, 183, 201, 208]"
Exact Matching,14,exact,ساعت بدن,212,1,0.2,1,0.3333,"[212, 214, 216, 221, 222]"
Exact Matching,15,exact,سن گندم,449,1,0.2,1,0.3333,"[449, 450, 452, 453]"
Exact Matching,16,typo,تکنالوژی هوش مسنوعی,1,0,0.0,0,0.0,[]
Exact Matching,17,typo,شبکه های محرم پنتاگن,2,0,0.0,0,0.0,[]
Exact Matching,18,typo,نیروگاه هستوی براکه,12,0,0.0,0,0.0,[]
Exact Matching,19,typo,گنبد اهنین,15,0,0.0,0,0.0,[]
Exact Matching,20,typo,حملات طیاره های بی سرنشن,23,0,0.0,0,0.0,[]
Exact Matching,21,typo,تنگه هرمزز,34,0,0.0,0,0.0,[]
Exact Matching,22,typo,سفر رسمی به چن,54,0,0.0,0,0.0,[]
Exact Matching,23,typo,بحران اب در افغانستن,98,0,0.0,0,0.0,[]
Exact Matching,24,typo,منابع اب زیر زمینی,105,0,0.0,0,0.0,[]
Exact Matching,25,typo,شیوع بیماری ایبلا,115,0,0.0,0,0.0,[]
Exact Matching,26,typo,ویروس هنتا,235,0,0.0,0,0.0,[]
Exact Matching,27,typo,تغیرات اقلیمی,103,0,0.0,0,0.0,[]
Exact Matching,28,typo,واردات طله,177,0,0.0,0,0.0,[]
Exact Matching,29,typo,ساعت بددن,212,0,0.0,0,0.0,[]
Exact Matching,30,typo,سن گنددم,449,0,0.0,0,0.0,[]
Exact Matching,31,partial,هوش مصنوعی,1,1,0.2,1,0.3333,"[1, 2, 4, 6, 7]"
Exact Matching,32,partial,شبکه های محرم,2,1,0.2,1,0.3333,"[1, 2, 3]"
Exact Matching,33,partial,نیروگاه براکه,12,0,0.0,0,0.0,[14]
Exact Matching,34,partial,گنبد آهنین,15,1,0.2,1,0.3333,"[15, 19]"
Exact Matching,35,partial,طیاره های بی سرنشین,23,1,0.2,1,0.3333,[23]
Exact Matching,36,partial,هرمز,34,1,0.2,1,0.3333,"[34, 59, 68, 92, 93]"
Exact Matching,37,partial,سفر به چین,54,0,0.0,0,0.0,[]
Exact Matching,38,partial,بحران آب,98,1,0.2,1,0.3333,[98]
Exact Matching,39,partial,آب زیرزمینی,105,1,0.2,1,0.3333,"[105, 114]"
Exact Matching,40,partial,بیماری ایبولا,115,1,0.2,1,0.3333,[115]
Exact Matching,41,partial,ویروس هانتا,235,1,0.2,1,0.3333,"[235, 243, 247, 252, 253]"
Exact Matching,42,partial,تغییرات اقلیم,103,1,0.2,1,0.3333,"[103, 109, 267, 269, 271]"
Exact Matching,43,partial,طلا,177,1,0.2,1,0.3333,"[175, 177, 178, 179, 180]"
Exact Matching,44,partial,ساعت بدن,212,1,0.2,1,0.3333,"[212, 214, 216, 221, 222]"
Exact Matching,45,partial,گندم,449,1,0.2,1,0.3333,"[439, 444, 448, 449, 450]"
Exact Matching,46,variant,فناوری هوش مصنوعی,1,0,0.0,0,0.0,[]
Exact Matching,47,variant,سیستم های محرمانه پنتاگون,2,0,0.0,0,0.0,[]
Exact Matching,48,variant,تاسیسات اتمی براکه,12,0,0.0,0,0.0,[]
Exact Matching,49,variant,سیستم دفاعی گنبد آهنین,15,0,0.0,0,0.0,[]
Exact Matching,50,variant,حملات طیاره بی سرنشین,23,0,0.0,0,0.0,[]
Exact Matching,51,variant,مسیر دریایی هرمز,34,0,0.0,0,0.0,[]
Exact Matching,52,variant,دیدار رسمی با چین,54,0,0.0,0,0.0,[]
Exact Matching,53,variant,کمبود آب افغانستان,98,0,0.0,0,0.0,[]
Exact Matching,54,variant,ذخایر آب زیرزمینی,105,0,0.0,0,0.0,[]
Exact Matching,55,variant,گسترش ایبولا,115,0,0.0,0,0.0,[]
Exact Matching,56,variant,بیماری هانتا,235,0,0.0,0,0.0,[]
Exact Matching,57,variant,تغییر آب و هوا,103,0,0.0,0,0.0,[]
Exact Matching,58,variant,خرید و فروش طلا,177,0,0.0,0,0.0,[]
Exact Matching,59,variant,ساعت بیولوژیکی بدن,212,0,0.0,0,0.0,[]
Exact Matching,60,variant,آفت گندم,449,0,0.0,0,0.0,[]
Exact Matching,61,typo,اوپن ای ای گوگل نویدیا,3,0,0.0,0,0.0,[]
Exact Matching,62,typo,پالیسی تسریع هوش مسنوعی,4,0,0.0,0,0.0,[]
Exact Matching,63,typo,تصمیم گیری نیروهای عملیاطی,5,0,0.0,0,0.0,[]
Exact Matching,64,typo,خطر در زنجیره تمین,6,0,0.0,0,0.0,[]
Exact Matching,65,typo,پلتفورم هوش مسنوعی,7,0,0.0,0,0.0,[]
Exact Matching,66,typo,طیاره بی سر نشن براکه,9,0,0.0,0,0.0,[]
Exact Matching,67,typo,سطح تشعشات نیروگاه هستوی,12,0,0.0,0,0.0,[]
Exact Matching,68,typo,واحدهای گنبد اهنین,15,0,0.0,0,0.0,[]
Exact Matching,69,typo,توافقنامه ابراهیم,18,0,0.0,0,0.0,[]
Exact Matching,70,typo,حملات میزیلی ایران,23,0,0.0,0,0.0,[]
Exact Matching,71,typo,میدان هوایی بین المللی کویت,24,1,0.2,1,0.3333,[24]
Exact Matching,72,typo,میزایل کروز قطر,26,0,0.0,0,0.0,[]
Exact Matching,73,typo,وزارت داخله بحرن,30,0,0.0,0,0.0,[]
Exact Matching,74,typo,شبکه اجتماعی تروت سوشیل,34,1,0.2,1,0.3333,[34]
Exact Matching,75,typo,تغیر رژیم ایران,40,0,0.0,0,0.0,[]
Exact Matching,76,typo,سفر رسمی ترمپ به چن,54,0,0.0,0,0.0,[]
Exact Matching,77,typo,روابط واشنگتن و بیجنگ,57,0,0.0,0,0.0,[]
Exact Matching,78,typo,فروش تسلیهات تایوان,61,0,0.0,0,0.0,[]
Exact Matching,79,typo,بحران اب افغانستان,98,0,0.0,0,0.0,[]
Exact Matching,80,typo,خشکسالی در افغانستان,101,0,0.0,0,0.0,[]
Exact Matching,81,typo,منابع اب اشامیدنی,104,0,0.0,0,0.0,[]
Exact Matching,82,typo,اب زیر زمینی کابل,105,0,0.0,0,0.0,[]
Exact Matching,83,typo,شیوع مریضی ایبولا,115,0,0.0,0,0.0,[]
Exact Matching,84,typo,ویروس بوندیبوگیو,119,1,0.2,1,0.3333,"[119, 125]"
Exact Matching,85,typo,علایم اولیه ایبولا,130,0,0.0,0,0.0,[]
Exact Matching,86,typo,رابطه دیپلوماتیک با چین,139,0,0.0,0,0.0,[]
Exact Matching,87,typo,استقلال رسمی تایوان,141,0,0.0,0,0.0,[]
Exact Matching,88,typo,همکاری های دفاای هند و امارات,154,0,0.0,0,0.0,[]
Exact Matching,89,typo,سرمایه گزاری پنج میلیارد دالر,160,0,0.0,0,0.0,[]
Exact Matching,90,typo,عوارض واردات طله,177,0,0.0,0,0.0,[]
Exact Matching,91,partial,اوپن ای آی,3,1,0.2,1,0.3333,[3]
Exact Matching,92,partial,قوای مسلح امریکا,4,1,0.2,1,0.3333,[4]
Exact Matching,93,partial,درک موقعیتی,5,1,0.2,1,0.3333,[5]
Exact Matching,94,partial,زنجیره تأمین,6,1,0.2,1,0.3333,[6]
Exact Matching,95,partial,GenAI.mil,7,0,0.0,0,0.0,[]
Exact Matching,96,partial,براکه در ابو ظبی,9,0,0.0,0,0.0,[]
Exact Matching,97,partial,سطح تشعشات,12,1,0.2,1,0.3333,[12]
Exact Matching,98,partial,واحدهای گنبد آهنین,15,0,0.0,0,0.0,[]
Exact Matching,99,partial,توافق نامه ابراهیم,18,0,0.0,0,0.0,[20]
Exact Matching,100,partial,حملات میزایلی ایران,23,0,0.0,0,0.0,[]
Exact Matching,101,partial,میدان هوایی کویت,24,0,0.0,0,0.0,[]
Exact Matching,102,partial,میزایل کروز,26,1,0.2,1,0.3333,"[26, 29]"
Exact Matching,103,partial,وزارت داخله بحرین,30,1,0.2,1,0.3333,[30]
Exact Matching,104,partial,تروت سوشیل,34,1,0.2,1,0.3333,[34]
Exact Matching,105,partial,تغییر رژیم,40,0,0.0,0,0.0,[42]
Exact Matching,106,partial,شی جین پینگ,54,1,0.2,1,0.3333,"[54, 57, 59, 64, 65]"
Exact Matching,107,partial,واشنگتن و بیجینگ,57,0,0.0,0,0.0,"[56, 72, 78, 79]"
Exact Matching,108,partial,فروش تسلیحات,61,0,0.0,0,0.0,"[62, 429, 430, 431]"
Exact Matching,109,partial,خشکسالی افغانستان,98,0,0.0,0,0.0,[]
Exact Matching,110,partial,شیوع خشکسالی,101,1,0.2,1,0.3333,[101]
Exact Matching,111,partial,آب آشامیدنی,104,1,0.2,1,0.3333,"[104, 106, 112]"
Exact Matching,112,partial,کابل تا سال 2030,105,1,0.2,1,0.3333,[105]
Exact Matching,113,partial,بوندیبوگیو,119,1,0.2,1,0.3333,"[119, 125]"
Exact Matching,114,partial,علائم اولیه,130,1,0.2,1,0.3333,[130]
Exact Matching,115,partial,اعلام استقلال,141,0,0.0,0,0.0,"[138, 143, 432]"
Exact Matching,116,partial,همکاری دفاعی,154,0,0.0,0,0.0,[173]
Exact Matching,117,partial,پنج میلیارد دالر,160,0,0.0,0,0.0,[]
Exact Matching,118,partial,جواهرات طلا,175,1,0.2,1,0.3333,[175]
Exact Matching,119,partial,عوارض واردات,177,1,0.2,1,0.3333,"[177, 208]"
Exact Matching,120,partial,ساعت بدن,212,1,0.2,1,0.3333,"[212, 214, 216, 221, 222]"
Exact Matching,121,variant,شرکت های هوش مصنوعی پنتاگون,1,0,0.0,0,0.0,[]
Exact Matching,122,variant,شبکه های محرمانه وزارت جنگ,2,0,0.0,0,0.0,[]
