id,text,word_count,char_count
1,پنتاگون با امازون، گوگل، مایکروسافت، اسپیس ایکس و سه شرکت بزرگ دیگر تکنالوژی برای استفاده از تکنالوژی هوش مصنوعی در شبکه های محرم وزارت جنگ ایالات متحده به توافق رسید.,30,167
2,"وزارت جنگ ایالات متحده (پنتاگون) روز جمعه اول می اعلام کرد که با هفت شرکت پیشتاز در عرصه تکنالوژی هوش مصنوعی به توافق رسیده است تا قابلیت های پیشرفته هوش مصنوعی را در شبکه های محرم پنتاگون به کار گیرد، اقدامی که به گفته مقامات، گامی مهم در جهت ساخت آنچه ""نیروی جنگی مبتنی بر هوش مصنوعی"" می نامند، محسوب می شود.",62,310
3,سپیس ایکس، اوپن ای آی، گوگل، نویدیا، رفلکشن، مایکروسافت و امازون ویب سرویسز، تکنالوژی های خود را با محیط های شبکه های محرم سطح 6 و سطح7 پنتاگون ادغام خواهند کرد؛ این سطوح به ترتیب برای معلومات محرم و فوق محرم استفاده می شوند.,44,225
4,این توافقات درروشنی پالیسی تسریع به کارگیری هوش مصنوعی توسط قوای مسلح امریکا که توسط پیت هیگست وزیر جنگ در ماه جنوری معرفی شد و هدف آن حذف موانع بیروکراتیک در فرا راه به کارگیری هوش مصنوعی در قوای مسلح است، صورت می گیرد.,44,220
5,"پنتاگون در بیانیه ای اعلام کرد که این توافق ها برای ""تسهیل ترکیب اسناد، ارتقای درک موقعیتی، و تقویت تصمیم گیری نیروهای عملیاتی در محیط های پیچیده"" طراحی شده اند.",30,161
6,"در این اعلامیه نامی از شرکت Anthropic انتروپک برده نشده است؛ شرکت نوپا در حوزه هوش مصنوعی که پنتاگون اوایل امسال در پی اختلاف بر سر چارچوب های محافظتی مربوط به استفاده نظامی از ابزارهایش، آن را به عنوان یک خطر در زنجیره تامین معرفی کرده بود. امیل مایکل، مدیر ارشد تکنالوژی وزارت جنگ، روز جمعه به شبکه سی ان بی سی گفت که شرکت انتروپک هنوز هم به عنوان یک خطر در زنجیره تامین محسوب می شود، هرچند دونالد ترمپ، رییس جمهور ایالات متحده، هفته گذشته گفته بود که کار کرد این شرکت از نظر حکومت امریکا ""در حال بهبود"" است. پنتاگون اعلام کرد که پلتفورم هوش مصنوعی آن، GenAI. mil، تاکنون توسط بیش از 1.",117,588
7,3 میلیون نفر از کارمندان دفاعی استفاده شده و در پنج ماه نخست فعالیت خود ده ها میلیون درخواست تولید کرده است. این وزارتخانه همچنین اعلام کرد که ساختاری را حفظ خواهد کرد که از وابستگی به یک فروشنده خاص جلوگیری می کند و انعطاف پذیری درازمدت را در همکاری های هوش مصنوعی تضمین میکند.,55,278
8,مقامات در امارت متحده عرب از حمله یک طیاره بی سر نشین بر یک نیروگاه هسته ای این کشور خبر دادند.,21,95
9,"به گفته مقامات، این طیاره بر یک جنراتور در محوطه بیرونی نیروگاه ""براکه"" در ابو ظبی اصابت کرد که در اثر آن بخشی از این نیروگاه آتش گرفت.",28,135
10,دفتر رسانه های ابو ظبی گفته است که در این حمله نه به کسی آسیب رسیده و نه هم این رویداد منجر به اخلال فعالیت و یا هم انتشار تشعشات شده است.,32,138
11,مسوولیت این حمله را تا اکنون کسی بر عهده نگرفته و مقامات اماراتی هم آن را به کسی یا کشوری نسبت نداده اند، اما در گذشته ابوظبی ایران را به حمله بر تاسیسات انرژی امارات متهم می کردند.,38,181
12,اداره بین المللی انرژی اتمی به نقل از مقامات اماراتی گفته است که سطح تشعشات در نیروگاه هسته ای براکه پس از این رویداد، در حد عادی باقی مانده است.,30,145
13,وزارت دفاع امارات متحده عرب گفته است که تحقیقات به منظور پیدا کردن منشا پرتاب طیاره بی سرنشین که این نیروگاه را هدف قرار داد، ادامه دارد.,27,137
14,"این وزارت بدون ارایه جزییات افزوده است که سه طیاره بی سر نشین از ""مرز غربی"" امارات متحده عرب شلیک شد و نظامیان این کشور توانستند دو طیاره را سرنگون کنند، اما طیاره سومی به نیروگاه براکه اصابت کرد.",39,196
15,مایک هکبی، سفیر ایالات متحده در اسراییل، روز سه شنبه گفت که اسراییل واحدهایی از سیستم دافع هوای گنبد آهنین خود را همراه با پرسونل برای راه اندازی آن، به امارات متحده عربی فرستاده است.,35,183
16,یک منبع آگاه به رویترز گفته است که این واحد که معمولاً شامل رادارها و پرتاب کننده های میزایل می باشد، برای کمک به دفاع در برابر حملات ایران به امارات فرستاده شده است.,34,166
17,ایران در طول جنگی که از بیست و هشتم فبروری با حملات امریکا و اسراییل به آن کشور آغاز شد، امارات را بیش از هر کشور دیگری هدف قرار داده است.,31,138
18,ایران حتا در طول آتش بس فعلی نیز به حملات خود به امارات ادامه داده است.,16,71
19,"هکبی در مراسمی در تل ابیب با اشاره به توافق سال 2020 که باعث ایجاد روابط اسراییل با امارات شد، گفت: ""اسراییل واحدهای و پرسونل گنبد آهنین را برای کمک به راه اندازی آنها به امارات فرستاده است. """,39,192
20,آقای هکبی گفت که اتخاذ این اقدام به اساس رابطه فوق العاده ای است که بین امارات و اسراییل بر اساس توافق نامه ابراهیم وجود دارد.,26,126
21,اسراییل همچنین در گذشته سیستم های دفاع هوایی را به امارات متحده عربی عرضه کرده است.,16,83
22,انور قرقاش، مقام ارشد اماراتی و مشاور رییس جمهور این کشور، در 17 مارچ گفت که حملات ایران به همسایگان عرب آن کشور، روابط بین اسراییل و آن دسته از کشورهای عربی را تقویت خواهد کرد که با اسراییل روابط دپلوماتیک دارند.,42,213
23,شماری از کشورهای عرب حاشیه خلیج فارس روز چهارشنبه اول اپریل از حملات طیاره های بی سرنشین و میزایلی ایران خبر داده اند. در همین حال، گروه حوثی های یمن حملات میزایلی را بر اسراییل انجام داده است.,38,193
24,اصابت یک طیاره بی سرنشین تهاجمی ایران بر میدان هوایی بین المللی کویت منجر به آتش سوزی شد. اداره هوانوردی ملکی کویت گفته است که این حمله ذخیره گاه های تیل این میدان را هدف قرار داده است.,38,185
25,"به نقل از خبرگزاری دولتی کویت، مقام های اداره هوانوردی آن کشور این حمله ""وقیحانه"" خوانده اند. مقام ها گفته اند که این رویداد تلفات جانی در پی نداشته است.",30,153
26,وزارت دفاع قطر نیز گفته است که رژیم ایران روز چهارشنبه سه میزایل کروز را بر آن کشور پرتاب کرده است که دو میزایل رهگیری شده و میزایل سوم بر یک نفت کش در سواحل راس لفان اصابت کرده است.,40,182
27,مقام های قطری گفته اند که هیچ یک از 21 عمله این نفت کش در این حمله آسیب ندیده و نیز مشکلی برای محیط زیست در این رویداد خلق نشده است.,31,132
28,از سوی دیگر، خبرگزاری دولتی امارات متحده عرب گفته است که بقایای یک طیاره بی سرنشین رهگیری شده ایران در یک کشتزار در شهر الفجیره فرود آمده و منجر به کشته شدن یک کارگر بنگله دیشی شده است.,38,185
29,قوای هوایی امارات متحده عرب گفته است که تنها روز چهارشنبه پنج میزایل بالستیک و 35 طیاره بی سرنشین ایران را رهگیری کرده است که با این حساب از شروع جنگ در یک ماه گذشته 438 میزایل بالستیک، 19 میزایل کروز و بیش از 2000 طیاره بی سرنشین تهاجمی ایران توسط نیروهای هوایی امارات رهگیری شده است.,57,285
